2025-03-19 20:38:29, INFO: TRAIN in episode 673 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2139
2025-03-19 20:40:59, INFO: TRAIN in episode 674 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4110
2025-03-19 20:43:35, INFO: TRAIN in episode 675 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3471
2025-03-19 20:46:19, INFO: TRAIN in episode 676 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4111
2025-03-19 20:47:09, INFO: TRAIN in episode 677 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4187
2025-03-19 20:49:45, INFO: TRAIN in episode 678 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4128
2025-03-19 20:50:41, INFO: TRAIN in episode 679 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4215
2025-03-19 20:54:09, INFO: TRAIN in episode 680 has success rate: 0.00, collision rate: 0.00, nav time: 35.00, total reward: 0.4018
2025-03-19 20:56:51, INFO: TRAIN in episode 681 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3982
2025-03-19 20:59:20, INFO: TRAIN in episode 682 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4089
2025-03-19 21:01:52, INFO: TRAIN in episode 683 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4178
2025-03-19 21:04:38, INFO: TRAIN in episode 684 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4112
2025-03-19 21:07:16, INFO: TRAIN in episode 685 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.1984
2025-03-19 21:09:51, INFO: TRAIN in episode 686 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3020
2025-03-19 21:12:53, INFO: TRAIN in episode 687 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4121
2025-03-19 21:15:25, INFO: TRAIN in episode 688 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3809
2025-03-19 21:18:20, INFO: TRAIN in episode 689 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2529
2025-03-19 21:21:24, INFO: TRAIN in episode 690 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.1854
2025-03-19 21:22:17, INFO: TRAIN in episode 691 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3699
2025-03-19 21:24:53, INFO: TRAIN in episode 692 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4147
2025-03-19 21:27:57, INFO: TRAIN in episode 693 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4187
2025-03-19 21:30:59, INFO: TRAIN in episode 694 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4053
2025-03-19 21:34:03, INFO: TRAIN in episode 695 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2982
2025-03-19 21:37:08, INFO: TRAIN in episode 696 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2537
2025-03-19 21:37:49, INFO: TRAIN in episode 697 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.1992
2025-03-19 21:42:01, INFO: TRAIN in episode 698 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4136
2025-03-19 21:45:15, INFO: TRAIN in episode 699 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4168
2025-03-19 21:49:33, INFO: TRAIN in episode 700 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4003
2025-03-19 21:52:10, INFO: TRAIN in episode 701 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3956
2025-03-19 21:57:05, INFO: TRAIN in episode 702 has success rate: 0.00, collision rate: 0.00, nav time: 35.00, total reward: 0.4191
2025-03-19 22:00:07, INFO: TRAIN in episode 703 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3543
2025-03-19 22:03:51, INFO: TRAIN in episode 704 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3813
2025-03-19 22:06:47, INFO: TRAIN in episode 705 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2868
2025-03-19 22:09:16, INFO: TRAIN in episode 706 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4093
2025-03-19 22:09:59, INFO: TRAIN in episode 707 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3020
